ARCHERY
ATHLETICS
BADMINTON
BASKETBALL
BEACH VOLLEYBALL
BOXING
CANOE SLALOM
CANOE SPRINT
CYCLING BMX
CYCLING MOUNTAIN BIKE
CYCLING ROAD
CYCLING TRACK
DIVING
EQUESTRIAN DRESSAGE
EQUESTRIAN EVENTING
EQUESTRIAN JUMPING
FENCING
FOOTBALL
GOLF
GYMNASTICS ARTISTIC
GYMNASTICS RHYTHMIC
HANDBALL
HOCKEY
JUDO
MODERN PENTATHLON
ROWING
RUGBY
SAILING
SHOOTING
SWIMMING
SYNCHRONIZED SWIMMING
TABLE TENNIS
TAEKWONDO
TENNIS
TRAMPOLINE
TRIATHLON
VOLLEYBALL
WATER POLO
WEIGHTLIFTING
WRESTLING
